job_id,job_title,company,location,experience,salary,work_mode,employment_type,skills,posted_date,description
JOB_03178,Data Engineer,Company S,Hyderabad,2-6 years,₹7.7L - ₹12.1L,Remote,Contract,"Azure, Python, Statistics",2026-07-21,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include python, Statistics, azure. Apply now to join Company S."
JOB_05403,Data Analyst,Company T,Noida,1-5 years,₹16.2L - ₹19.0L,Hybrid,Contract,"C++, JavaScript, Python, SQL, Statistics",2025-12-26,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Python, SQL, Stats, Vanilla JS, c++. Apply now to join Company T."
JOB_04146,Data Scientist,Company V,Gurgaon,6-7 years,₹22.7L - ₹27.2L,Remote,Full-time,"AWS, Python, SQL, Statistics",2026-06-29,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include SQL, Python, Statistics, aws. Apply now to join Company V."
JOB_01619,Backend Developer,Company X,Chennai,1-4 years,₹15.8L - ₹19.1L,On-site,Full-time,"Azure, Java, Node.js, SQL",2026-04-30,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include Oracle, node.js, JAVA, MS Azure. Apply now to join Company X."
JOB_05809,MERN Stack Engineer,Company FF,Gurgaon,1-5 years,₹21.3L - ₹25.4L,On-site,Full-time,"Express.js, JavaScript, MongoDB, Node.js, React",2026-02-21,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include mongodb, Node.js, ReactJS, express, Javascript. Apply now to join Company FF."
JOB_07043,Software Engineer,Company EE,Kolkata,1-3 years,₹14.6L - ₹18.4L,Hybrid,Part-time,"AWS, C++, JavaScript, Python, SQL",2025-11-15,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include python, Oracle, JS, Amazon AWS, CPP. Apply now to join Company EE."
JOB_08735,Full Stack Developer,Company BB,Chennai,6-9 years,₹17.0L - ₹20.4L,Remote,Contract,"JavaScript, MongoDB, Python, SQL",2026-08-21,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include JS, Python, PostgreSQL, mongodb. Apply now to join Company BB."
JOB_09919,Backend Developer,Company DD,Bengaluru,7-11 years,₹23.3L - ₹27.4L,Hybrid,Contract,"Docker, Express.js, Node.js, SQL, Spring Boot",2026-06-28,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include MS SQL, Node.js, Spring Boot, Docker, Express. Apply now to join Company DD."
JOB_09190,Data Engineer,Company EE,Hyderabad,0-4 years,₹13.2L - ₹15.7L,Remote,Full-time,"SQL, Spring Boot, Statistics",2025-12-14,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include Statistics, SQL, Spring Boot. Apply now to join Company EE."
JOB_06562,Full Stack Developer,Company I,Bengaluru,4-7 years,₹21.4L - ₹24.5L,Remote,Part-time,"C#, JavaScript, Python, SQL",2025-10-07,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include SQL, PYTHON, JS, C Sharp. Apply now to join Company I."
JOB_09241,MERN Stack Engineer,Company X,Mumbai,5-9 years,₹22.4L - ₹26.2L,Hybrid,Contract,"Docker, Express.js, MongoDB, Node.js, Tableau",2025-12-08,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include Node, mongodb, express, Tableau, docker. Apply now to join Company X."
JOB_00309,Cybersecurity Analyst,Company B,Chennai,7-9 years,₹18.4L - ₹21.7L,On-site,Part-time,"JavaScript, MongoDB, Python, SQL",2025-10-10,"We are looking for a highly skilled Cybersecurity Analyst to join our engineering team. Required skills include SQL, Javascript, Python 3, MongoDB. Apply now to join Company B."
JOB_01182,Data Scientist,Company H,Hyderabad,3-7 years,,On-site,Full-time,"JavaScript, Power BI, Python, SQL",2025-12-13,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include python, Oracle, POWER BI, Javascript. Apply now to join Company H."
JOB_09626,Data Engineer,Company H,Bengaluru,3-7 years,₹17.5L - ₹20.4L,On-site,Full-time,"JavaScript, Python, SQL, Statistics",2026-07-14,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include MySQL, Python 3, Stats, JavaScript. Apply now to join Company H."
JOB_01925,Site Reliability Engineer,Company U,Hyderabad,7-10 years,₹21.6L - ₹25.1L,On-site,Full-time,"Docker, JavaScript, Python, SQL",2025-11-30,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include Javascript, PostgreSQL, Python, Docker. Apply now to join Company U."
JOB_05148,Data Scientist,Company N,Mumbai,5-9 years,₹23.8L - ₹28.3L,Remote,Full-time,"AWS, JavaScript, Python, SQL, Statistics",2025-10-01,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include Python 3, Oracle, Stats, JS, Amazon AWS. Apply now to join Company N."
JOB_09295,Site Reliability Engineer,Company Q,Noida,0-2 years,₹21.0L - ₹25.9L,Hybrid,Contract,"C#, JavaScript, Python, SQL",2026-04-23,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include JavaScript, PYTHON, SQL, C Sharp. Apply now to join Company Q."
JOB_01168,MERN Stack Engineer,Company W,Hyderabad,3-7 years,₹24.6L - ₹28.9L,Remote,Part-time,"Express.js, MongoDB, Power BI, React",2026-02-10,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include Mongo, ReactJS, Express.js, Power BI. Apply now to join Company W."
JOB_04265,Cloud Engineer,Company GG,Mumbai,8-11 years,₹24.6L - ₹27.4L,On-site,Contract,"AWS, C++, Docker, GCP, Kubernetes",2025-09-17,"We are looking for a highly skilled Cloud Engineer to join our engineering team. Required skills include kubernetes, gcp, Docker, AWS, CPP. Apply now to join Company GG."
JOB_08352,DevOps Engineer,Company D,Noida,0-2 years,₹10.8L - ₹15.0L,On-site,Contract,"AWS, Azure, JavaScript, Node.js",2026-05-15,"We are looking for a highly skilled DevOps Engineer to join our engineering team. Required skills include azure, aws, Vanilla JS, Node.js. Apply now to join Company D."
JOB_06968,Data Scientist,Company G,Delhi NCR,6-8 years,₹21.3L - ₹23.5L,On-site,Part-time,"Docker, Python, SQL, Statistics",2026-07-31,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include Stats, Python, Oracle, docker. Apply now to join Company G."
JOB_07611,Full Stack Developer,Company K,Hyderabad,6-9 years,₹25.4L - ₹27.6L,On-site,Part-time,"Excel, JavaScript, SQL",2026-08-04,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include Vanilla JS, MS SQL, Excel. Apply now to join Company K."
JOB_04790,Data Analyst,Company AA,Mumbai,0-2 years,₹5.0L - ₹9.8L,Hybrid,Part-time,"Express.js, Machine Learning, Python, Statistics",2026-01-02,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include python, Statistics, ML, Express.js. Apply now to join Company AA."
JOB_07870,Data Analyst,Company CC,Bengaluru,2-6 years,₹7.4L - ₹11.5L,Hybrid,Part-time,"Express.js, Python, SQL, Statistics",2026-05-01,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include PYTHON, MS SQL, Stats, Express. Apply now to join Company CC."
JOB_02190,Frontend Developer,Company X,Delhi NCR,6-9 years,₹16.2L - ₹19.4L,On-site,Full-time,"Java, JavaScript, PyTorch, React",2025-10-10,"We are looking for a highly skilled Frontend Developer to join our engineering team. Required skills include ReactJS, Vanilla JS, pytorch, JAVA. Apply now to join Company X."
JOB_01797,Software Engineer,Company N,Bengaluru,5-6 years,₹22.8L - ₹27.1L,On-site,Part-time,"JavaScript, Power BI, Python, SQL",2026-04-02,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include SQL, Javascript, PYTHON, POWER BI. Apply now to join Company N."
JOB_03308,MERN Stack Engineer,Unknown,Pune,6-10 years,₹24.1L - ₹28.9L,On-site,Full-time,"Express.js, React, TensorFlow",2025-10-19,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include Express, react, TF. Apply now to join our fast-growing startup."
JOB_09616,Cybersecurity Analyst,Company Z,Chennai,7-8 years,₹19.4L - ₹22.5L,On-site,Contract,"Kubernetes, Python, SQL, TensorFlow",2025-10-03,"We are looking for a highly skilled Cybersecurity Analyst to join our engineering team. Required skills include PostgreSQL, Python 3, tensorflow, kubernetes. Apply now to join Company Z."
JOB_00741,Data Engineer,Company F,Noida,3-7 years,₹22.3L - ₹25.3L,Remote,Contract,"Docker, Python, SQL, Statistics",2026-05-18,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include PYTHON, SQL, Statistics, docker. Apply now to join Company F."
JOB_05808,Site Reliability Engineer,Company Y,Pune,7-9 years,₹17.4L - ₹21.2L,On-site,Part-time,"JavaScript, Node.js, Python, SQL",2025-12-25,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include SQL, Javascript, Python 3, NodeJS. Apply now to join Company Y."
JOB_06074,Backend Developer,Company C,Gurgaon,2-6 years,,Hybrid,Full-time,"Excel, Node.js, SQL",2025-11-24,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include PostgreSQL, NodeJS, Excel. Apply now to join Company C."
JOB_08560,Data Analyst,Company BB,Hyderabad,5-6 years,₹12.0L - ₹15.3L,On-site,Full-time,"C#, Excel, Python, SQL, Statistics",2025-11-02,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Python, Oracle, Statistics, C Sharp, MS Excel. Apply now to join Company BB."
JOB_06327,Business Analyst,Company S,Delhi NCR,4-7 years,₹8.8L - ₹12.7L,Hybrid,Full-time,"AWS, JavaScript, Python",2025-11-15,"We are looking for a highly skilled Business Analyst to join our engineering team. Required skills include Python 3, Vanilla JS, Amazon Web Services. Apply now to join Company S."
JOB_07495,Business Analyst,Company CC,Hyderabad,1-2 years,₹12.2L - ₹17.0L,Hybrid,Contract,"C++, JavaScript, Python, SQL",2025-11-23,"We are looking for a highly skilled Business Analyst to join our engineering team. Required skills include PostgreSQL, Javascript, python, c++. Apply now to join Company CC."
JOB_01001,MERN Stack Engineer,Company Z,Kolkata,5-6 years,,Hybrid,Part-time,"Azure, C++, Express.js, MongoDB, Node.js, React",2026-02-08,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include Mongo, Node.js, Express.js, React.js, CPP, azure. Apply now to join Company Z."
JOB_02506,Software Engineer,Company C,Bengaluru,4-7 years,₹14.2L - ₹18.9L,Remote,Contract,"PyTorch, Python, SQL",2025-10-12,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include Python 3, Oracle, PyTorch. Apply now to join Company C."
JOB_09242,Software Engineer,Company G,Delhi NCR,2-3 years,₹13.7L - ₹16.2L,Hybrid,Part-time,"C#, Python, SQL",2026-03-07,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include MS SQL, Python 3, C#. Apply now to join Company G."
JOB_00443,Data Analyst,Company B,Delhi NCR,5-9 years,₹13.0L - ₹15.0L,Hybrid,Contract,"C++, Docker, Python, SQL, Statistics",2025-10-18,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Oracle, Python 3, Statistics, docker, c++. Apply now to join Company B."
JOB_03265,Data Engineer,Company P,Bengaluru,0-1 years,₹12.0L - ₹14.0L,Hybrid,Full-time,"C#, MongoDB, Python, SQL, Statistics",2026-05-25,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include PostgreSQL, python, Stats, .NET, mongodb. Apply now to join Company P."
JOB_04376,Cybersecurity Analyst,Company G,Pune,1-4 years,₹13.2L - ₹16.1L,Hybrid,Full-time,"JavaScript, SQL, Tableau",2026-07-09,"We are looking for a highly skilled Cybersecurity Analyst to join our engineering team. Required skills include MS SQL, Javascript, Tableau. Apply now to join Company G."
JOB_04279,Data Engineer,Company G,Chennai,3-4 years,₹10.3L - ₹12.7L,On-site,Contract,"Python, React, Statistics",2026-03-12,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include Python 3, Stats, React. Apply now to join Company G."
JOB_08021,Machine Learning Engineer,Company Z,Kolkata,6-10 years,₹19.9L - ₹23.2L,Remote,Part-time,"C#, Python, SQL, Statistics",2026-03-19,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include SQL, Stats, Python, C Sharp. Apply now to join Company Z."
JOB_06049,Database Administrator,Company B,Pune,7-10 years,₹17.4L - ₹20.8L,Remote,Contract,"Docker, MongoDB, Python, SQL, Statistics",2025-11-21,"We are looking for a highly skilled Database Administrator to join our engineering team. Required skills include Oracle, PYTHON, Statistics, Mongo, docker. Apply now to join Company B."
JOB_06741,Software Engineer,Company DD,Hyderabad,3-6 years,₹18.7L - ₹22.1L,Hybrid,Part-time,"JavaScript, Python, SQL, Tableau",2025-09-19,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include Vanilla JS, Oracle, Python, Tableau. Apply now to join Company DD."
JOB_01966,Site Reliability Engineer,Company EE,Delhi NCR,3-4 years,₹16.2L - ₹20.6L,Remote,Full-time,"Express.js, JavaScript, Python, SQL",2026-02-03,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include PYTHON, JavaScript, SQL, Express.js. Apply now to join Company EE."
JOB_02489,DevOps Engineer,Company FF,Bengaluru,0-1 years,₹6.0L - ₹10.8L,Remote,Contract,"AWS, Azure, Docker, Kubernetes, TensorFlow",2026-04-11,"We are looking for a highly skilled DevOps Engineer to join our engineering team. Required skills include kubernetes, MS Azure, aws, Docker, TensorFlow. Apply now to join Company FF."
JOB_06119,Data Analyst,Company M,Kolkata,2-5 years,₹8.4L - ₹12.7L,On-site,Full-time,"Excel, Python, SQL, Statistics",2025-11-07,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Python 3, MS SQL, Stats, Excel. Apply now to join Company M."
JOB_01354,Site Reliability Engineer,Company F,Gurgaon,8-9 years,₹34.4L - ₹36.8L,On-site,Contract,"Excel, JavaScript, Python, SQL",2026-06-10,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include MySQL, python, JavaScript, excel. Apply now to join Company F."
JOB_04465,Full Stack Developer,Company L,Bengaluru,5-8 years,₹15.6L - ₹20.2L,Remote,Part-time,"PyTorch, Python, SQL",2026-05-18,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include SQL, Python, PyTorch. Apply now to join Company L."
JOB_01143,Frontend Developer,Company P,Chennai,7-11 years,₹21.4L - ₹24.8L,Remote,Contract,"Docker, JavaScript, React",2025-12-20,"We are looking for a highly skilled Frontend Developer to join our engineering team. Required skills include ReactJS, Vanilla JS, Docker. Apply now to join Company P."
JOB_02303,DevOps Engineer,Company B,Chennai,0-4 years,₹18.0L - ₹20.6L,Remote,Contract,"AWS, C++, Docker, Power BI",2026-08-11,"We are looking for a highly skilled DevOps Engineer to join our engineering team. Required skills include Docker, AWS, PowerBI, c++. Apply now to join Company B."
JOB_08631,Backend Developer,Company G,Kolkata,4-6 years,₹19.0L - ₹23.1L,Remote,Part-time,"Java, Node.js, PyTorch, SQL",2026-08-11,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include MySQL, Java, node.js, PyTorch. Apply now to join Company G."
JOB_09973,Data Analyst,Company Y,Kolkata,8-9 years,₹16.6L - ₹20.6L,On-site,Part-time,"Python, React, SQL, Statistics, TensorFlow",2026-08-12,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Stats, MySQL, PYTHON, ReactJS, tensorflow. Apply now to join Company Y."
JOB_08670,QA Engineer,Company F,Kolkata,0-2 years,₹11.0L - ₹13.8L,Remote,Full-time,"Express.js, JavaScript, Python, SQL, Tableau",2026-02-02,"We are looking for a highly skilled QA Engineer to join our engineering team. Required skills include python, Javascript, SQL, express, Tableau. Apply now to join Company F."
JOB_03773,DevOps Engineer,Company Y,Pune,2-3 years,₹8.9L - ₹12.4L,On-site,Full-time,"AWS, Docker, Excel",2026-01-05,"We are looking for a highly skilled DevOps Engineer to join our engineering team. Required skills include AWS, docker, MS Excel. Apply now to join Company Y."
JOB_03574,Frontend Developer,Company Y,Mumbai,8-10 years,₹18.6L - ₹21.7L,On-site,Part-time,"JavaScript, MongoDB, React",2026-09-06,"We are looking for a highly skilled Frontend Developer to join our engineering team. Required skills include React.js, Vanilla JS, MongoDB. Apply now to join Company Y."
JOB_01087,Cybersecurity Analyst,Company Y,Gurgaon,0-1 years,₹9.0L - ₹11.9L,Hybrid,Part-time,"Excel, JavaScript, Python, SQL",2026-07-23,"We are looking for a highly skilled Cybersecurity Analyst to join our engineering team. Required skills include PostgreSQL, Python 3, JS, Excel. Apply now to join Company Y."
JOB_09535,QA Engineer,Unknown,Delhi NCR,7-10 years,₹20.4L - ₹22.9L,Remote,Contract,"C#, JavaScript, Python, SQL",2026-03-28,"We are looking for a highly skilled QA Engineer to join our engineering team. Required skills include Vanilla JS, python, Oracle, C#. Apply now to join our fast-growing startup."
JOB_02082,Machine Learning Engineer,Company EE,Unknown,1-5 years,₹21.3L - ₹25.2L,On-site,Contract,"AWS, Python, SQL, Statistics",2026-09-12,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include Stats, Python 3, MySQL, AWS. Apply now to join Company EE."
JOB_09907,Full Stack Developer,Company G,Gurgaon,5-9 years,₹20.4L - ₹24.3L,Hybrid,Part-time,"Java, JavaScript, Python, TensorFlow",2026-07-10,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include PYTHON, JavaScript, Core Java, tensorflow. Apply now to join Company G."
JOB_02747,MERN Stack Engineer,Company BB,Bengaluru,1-5 years,₹17.1L - ₹21.3L,On-site,Part-time,"Excel, MongoDB, Node.js, React",2026-08-22,"We are looking for a highly skilled MERN Stack Engineer to join our engineering team. Required skills include React.js, mongodb, NodeJS, excel. Apply now to join Company BB."
JOB_02713,Site Reliability Engineer,Company O,Chennai,8-12 years,₹19.0L - ₹22.3L,Hybrid,Contract,"JavaScript, Node.js, Python, SQL",2026-04-27,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include MS SQL, Python 3, JS, Node.js. Apply now to join Company O."
JOB_00104,Data Engineer,Company Q,Unknown,3-6 years,₹9.1L - ₹13.5L,Remote,Contract,"Power BI, SQL, Statistics",2025-11-10,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include MS SQL, Stats, Power BI. Apply now to join Company Q."
JOB_02310,Data Scientist,Company JJ,Gurgaon,4-8 years,₹26.3L - ₹29.0L,Remote,Contract,"Docker, Python, Statistics",2026-04-08,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include Statistics, PYTHON, Docker. Apply now to join Company JJ."
JOB_05165,Site Reliability Engineer,Company Z,Gurgaon,3-6 years,₹14.8L - ₹17.5L,On-site,Part-time,"Docker, JavaScript, Python, SQL",2025-09-30,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include MS SQL, Python 3, Vanilla JS, Docker. Apply now to join Company Z."
JOB_08034,Data Analyst,Company C,Noida,7-9 years,₹22.4L - ₹26.5L,On-site,Contract,"Python, SQL, Statistics, Tableau",2026-06-05,"We are looking for a highly skilled Data Analyst to join our engineering team. Required skills include Stats, MySQL, Python 3, Tableau. Apply now to join Company C."
JOB_01349,Machine Learning Engineer,Company H,Bengaluru,4-6 years,₹15.1L - ₹19.5L,On-site,Contract,"Excel, SQL, Statistics",2025-10-05,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include Statistics, MS SQL, excel. Apply now to join Company H."
JOB_07248,Machine Learning Engineer,Company I,Chennai,6-8 years,₹25.5L - ₹29.6L,On-site,Contract,"JavaScript, Kubernetes, SQL, Statistics",2026-01-01,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include Statistics, SQL, Javascript, Kubernetes. Apply now to join Company I."
JOB_01275,Software Engineer,Company DD,Kolkata,2-4 years,,Remote,Contract,"Excel, JavaScript, Python, SQL, Statistics",2026-05-29,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include JS, SQL, Python, excel, Statistics. Apply now to join Company DD."
JOB_02456,Cybersecurity Analyst,Unknown,Mumbai,4-8 years,₹8.8L - ₹11.0L,Remote,Contract,"Docker, JavaScript, Python, SQL",2025-11-26,"We are looking for a highly skilled Cybersecurity Analyst to join our engineering team. Required skills include PostgreSQL, python, Javascript, Docker. Apply now to join our fast-growing startup."
JOB_03020,Data Scientist,Company HH,Delhi NCR,5-9 years,₹25.2L - ₹28.0L,Remote,Part-time,"AWS, Azure, Python, SQL, Statistics",2025-12-24,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include Statistics, Python, Oracle, MS Azure, aws. Apply now to join Company HH."
JOB_03239,Database Administrator,Company I,Bengaluru,7-8 years,₹15.4L - ₹19.8L,On-site,Part-time,"Docker, Python, React, Statistics",2026-09-14,"We are looking for a highly skilled Database Administrator to join our engineering team. Required skills include python, Stats, React.js, docker. Apply now to join Company I."
JOB_08964,Business Analyst,Company HH,Pune,3-7 years,₹14.6L - ₹18.6L,Hybrid,Full-time,"C++, JavaScript, Python, SQL",2026-05-05,"We are looking for a highly skilled Business Analyst to join our engineering team. Required skills include PostgreSQL, python, Javascript, CPP. Apply now to join Company HH."
JOB_06681,Backend Developer,Company II,Bengaluru,8-10 years,₹16.3L - ₹18.9L,On-site,Contract,"Java, Node.js, Python, SQL",2026-01-18,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include Java, Node, MS SQL, python. Apply now to join Company II."
JOB_08899,Data Engineer,Unknown,Unknown,7-11 years,₹17.3L - ₹21.9L,Remote,Part-time,"GCP, Python, Statistics",2026-09-12,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include Stats, Python, Google Cloud. Apply now to join our fast-growing startup."
JOB_03997,Full Stack Developer,Company H,Pune,8-9 years,₹24.7L - ₹27.8L,On-site,Contract,"JavaScript, Python, Statistics",2026-06-03,"We are looking for a highly skilled Full Stack Developer to join our engineering team. Required skills include JavaScript, python, Stats. Apply now to join Company H."
JOB_02243,Data Engineer,Company N,Hyderabad,5-9 years,₹19.2L - ₹24.2L,Hybrid,Part-time,"Python, React, SQL, Spring Boot, Statistics",2026-02-22,"We are looking for a highly skilled Data Engineer to join our engineering team. Required skills include MySQL, python, Stats, Spring Boot, ReactJS. Apply now to join Company N."
JOB_06638,Business Analyst,Company DD,Gurgaon,2-3 years,₹11.4L - ₹15.9L,Remote,Contract,"Excel, JavaScript, PyTorch, Python, SQL",2025-10-11,"We are looking for a highly skilled Business Analyst to join our engineering team. Required skills include PYTHON, Oracle, JavaScript, MS Excel, pytorch. Apply now to join Company DD."
JOB_00529,Machine Learning Engineer,Company J,Kolkata,3-4 years,₹19.0L - ₹23.0L,Remote,Part-time,"C++, Kubernetes, Python, Statistics",2026-06-07,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include python, Stats, K8s, CPP. Apply now to join Company J."
JOB_09328,DevOps Engineer,Company H,Delhi NCR,7-10 years,₹16.1L - ₹19.9L,Remote,Full-time,"AWS, C++, GCP, Kubernetes, React",2026-03-16,"We are looking for a highly skilled DevOps Engineer to join our engineering team. Required skills include kubernetes, Amazon AWS, Google Cloud, CPP, react. Apply now to join Company H."
JOB_08932,Machine Learning Engineer,Company C,Chennai,5-7 years,₹25.2L - ₹29.9L,Remote,Full-time,"Power BI, Python, SQL, Statistics, TensorFlow",2026-05-08,"We are looking for a highly skilled Machine Learning Engineer to join our engineering team. Required skills include SQL, Stats, Python, Power BI, TensorFlow. Apply now to join Company C."
JOB_06534,Data Scientist,Unknown,Hyderabad,8-10 years,₹26.0L - ₹30.4L,On-site,Part-time,"Power BI, Python, SQL, Statistics",2026-08-25,"We are looking for a highly skilled Data Scientist to join our engineering team. Required skills include Statistics, Python, Oracle, Power BI. Apply now to join our fast-growing startup."
JOB_02599,Backend Developer,Company R,Mumbai,4-5 years,₹22.6L - ₹27.1L,Hybrid,Contract,"MongoDB, Node.js, React, SQL",2026-04-06,"We are looking for a highly skilled Backend Developer to join our engineering team. Required skills include Node, PostgreSQL, React, mongodb. Apply now to join Company R."
JOB_06508,Frontend Developer,Company E,Mumbai,7-11 years,,Remote,Part-time,"C++, JavaScript, MongoDB, React",2026-04-10,"We are looking for a highly skilled Frontend Developer to join our engineering team. Required skills include JavaScript, react, c++, mongodb. Apply now to join Company E."
JOB_08367,Site Reliability Engineer,Unknown,Noida,3-5 years,₹19.0L - ₹21.5L,Hybrid,Part-time,"Node.js, Python, SQL",2026-02-09,"We are looking for a highly skilled Site Reliability Engineer to join our engineering team. Required skills include MS SQL, Python, node.js. Apply now to join our fast-growing startup."
JOB_06992,Software Engineer,Company C,Gurgaon,6-9 years,₹17.0L - ₹20.9L,Hybrid,Part-time,"Express.js, GCP, JavaScript, Python, SQL",2025-09-24,"We are looking for a highly skilled Software Engineer to join our engineering team. Required skills include Python 3, MS SQL, JS, gcp, Express.js. Apply now to join Company C."
